numbering,keyword1,keyword2,keyword3,story_name
100,brave broccoli knight,veggie kingdom,carrot sword,Broccoli Knight and the Carrot Sword Quest
101,curious carrot,underground tunnel,root friends,Carrot's Secret Underground Adventure
102,playful potato,magic garden,hidden sprouts,Potato's Magical Garden Surprise
103,little tomato,red village,sunny patch,Tomato's Sunny Village Day
104,cheerful cucumber,cool breeze,green valley,Cucumber's Cool Valley Journey
105,magic pumpkin,harvest night,glowing lantern,Pumpkin's Glowing Harvest Night
106,tiny pea pod,rolling hills,green family,Pea Pod's Rolling Hill Adventure
107,brave lettuce leaf,salad kingdom,crunchy quest,Lettuce Leaf's Crunchy Kingdom Quest
108,silly onion,tearful spell,layer mystery,Onion's Layered Mystery Tale
109,kind corn cob,golden field,sunshine dance,Corn Cob's Golden Field Dance
110,curious radish,hidden garden,earthy treasure,Radish's Hidden Garden Treasure
111,little eggplant,purple castle,royal feast,Eggplant's Royal Purple Feast
112,friendly zucchini,summer farm,veggie parade,Zucchini's Summer Farm Parade
113,tiny garlic clove,spicy magic,kitchen adventure,Garlic Clove's Spicy Kitchen Adventure
114,brave chili pepper,hot volcano,flame friends,Chili Pepper's Fiery Volcano Quest
115,playful mushroom,forest floor,spore surprise,Mushroom's Forest Floor Surprise
116,curious spinach leaf,green jungle,healthy hero,Spinach Leaf's Jungle Hero Journey
117,magic beetroot,red river,earth power,Beetroot's Red River Magic
118,little cabbage,round world,leafy layers,Cabbage's Leafy World Adventure
119,sweet bell pepper,colorful town,rainbow market,Bell Pepper's Rainbow Market Day
120,brave asparagus,spring field,tall tale,Asparagus's Tall Spring Tale
121,tiny turnip,hidden path,garden secret,Turnip's Secret Garden Path
122,playful green bean,climbing vine,sky reach,Green Bean's Sky High Climb
123,curious celery,crunchy forest,snack trail,Celery's Crunchy Forest Trail
124,magic sweet potato,cozy oven,warm glow,Sweet Potato's Cozy Glow Story
125,little kale leaf,super garden,healthy quest,Kale Leaf's Super Garden Quest
126,friendly leek,quiet farm,gentle breeze,Leek's Gentle Farm Breeze
