numbering,keyword1,keyword2,keyword3,story_name,status_story_json,status_audio,status_video
1,dragon,sword,knight,The Brave Knight and the Golden Dragon,processed,processed,processed
2,girl,dog,ice cream,Lucy's Sweet Adventure with Her Best Friend,processed,pending,pending
3,frog,princess,prince,The Frog's Royal Secret,processed,pending,pending
4,fox,flower,squirel,The Fox and the Forest Friends,processed,processed,processed
5,kid,shoe,puddle,The Magic in the Puddle,processed,pending,pending
6,lion,zebra,river,The Lion and Zebra by the River,pending,pending,pending
7,brave little dragon,magical forest,shiny treasure,The Brave Dragon's Sparkly Quest,pending,pending,pending
8,curious bunny,rainbow river,talking flowers,Bunny's Rainbow River Adventure,pending,pending,pending
9,friendly robot,starry night,moon cookies,Robot's Midnight Moon Cookie Party,pending,pending,pending
10,little mermaid,underwater castle,colorful coral,The Mermaid and the Coral Kingdom,pending,pending,pending
11,clever fox,whispering woods,hidden path,Fox's Secret Forest Path,pending,pending,pending
12,playful penguin,ice castle,snowball fight,Penguin's Snowy Castle Games,pending,pending,pending
13,magic unicorn,cloud castle,rainbow bridge,Unicorn's Rainbow Bridge Journey,pending,pending,pending
14,tiny astronaut,red planet,martian friends,Astronaut's Little Red Planet Pal,pending,pending,pending
15,singing bird,golden cage,enchanted garden,Bird's Golden Garden Song,pending,pending,pending
16,jolly giant,beanstalk village,ticklish clouds,Giant's Tickly Cloud Adventure,pending,pending,pending
17,shy turtle,ocean waves,shiny shell,Turtle's Sparkly Shell Secret,pending,pending,pending
18,brave knight,fire-breathing dragon,shining armor,Knight and the Friendly Dragon,pending,pending,pending
19,little witch,broomstick race,pumpkin patch,Witch's Pumpkin Broomstick Race,pending,pending,pending
20,curious kitten,mysterious box,yarn ball adventure,Kitten's Magic Box Surprise,pending,pending,pending
21,cheerful monkey,jungle swing,banana feast,Monkey's Banana Jungle Party,pending,pending,pending
22,sleepy bear,honey tree,dreamy meadow,Bear's Sweet Honey Dreams,pending,pending,pending
23,tiny fairy,dew drop castle,butterfly wings,Fairy's Dewdrop Butterfly Dance,pending,pending,pending
24,brave lion,courage cave,roaring echo,Lion's Brave Echo Cave,pending,pending,pending
25,smart owl,night library,star books,Owl's Starry Night Library,pending,pending,pending
26,little elephant,jungle river,splashing fun,Elephant's Big Splash River Day,pending,pending,pending
27,gentle deer,whispering wind,ancient oak,Deer's Gentle Forest Secret,pending,pending,pending
28,playful dolphin,ocean waves,treasure reef,Dolphin's Sparkly Treasure Reef,pending,pending,pending
29,magic puppy,rainbow collar,friendship bone,Puppy's Rainbow Friendship Bone,pending,pending,pending
30,cozy hedgehog,warm blanket,autumn leaves,Hedgehog's Cozy Leaf Nest,pending,pending,pending
31,little pirate,wooden ship,glowing island,Pirate's Glowing Island Quest,pending,pending,pending
32,kind butterfly,flower meadow,pollen party,Butterfly's Flower Meadow Party,pending,pending,pending
33,brave beaver,wooden dam,rushing river,Beaver's Big River Dam,pending,pending,pending
34,silly octopus,eight arms,ocean circus,Octopus's Silly Ocean Circus,pending,pending,pending
35,tiny mouse,cheese castle,quiet adventure,Mouse's Cheesy Castle Quest,pending,pending,pending
36,sparkly snowman,winter wonderland,carrot nose,Snowman's Magical Winter Day,pending,pending,pending
